Riverdale,Elevator,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income SQFT,Estimated Expense,Expense SQFT,Net Operating Income,Income to Expense Ratio,Market Value,Market Value SQFT
0,1,42,1962,30927,446895,14.45,258550,8.36,188345,1.728466447,1354000,43.78
0,1,4470,1969,5541031,80289539,14.49,46544660,8.4,33744879,1.725000011,242442000,43.75
0,1,266,1971,318060,4510091,14.18,2576286,8.1,1933805,1.750617362,13829000,43.48
0,1,68,1940,62088,902139,14.53,528369,8.51,373770,1.707403349,2688000,43.29
0,1,136,1962,125891,1767510,14.04,1003351,7.97,764158,1.761606855,5444000,43.24
0,1,67,1956,71652,985215,13.75,547421,7.64,437794,1.79973914,3096000,43.21
0,1,68,1956,65071,950037,14.6,560912,8.62,389125,1.693736272,2807000,43.14
0,1,111,1965,108306,1576935,14.56,930349,8.59,646587,1.694992954,4653000,42.96
0,1,73,1930,70812,1025358,14.48,604734,8.54,420623,1.695552094,3023000,42.69
0,1,173,1966,154640,2137125,13.82,1207738,7.81,929386,1.769527,6592000,42.63
0,1,81,1941,92417,1222677,13.23,660782,7.15,561895,1.850348526,3935000,42.58
0,1,96,1951,127000,1799590,14.17,1043940,8.22,755650,1.723844282,5400000,42.52
